,Player,Season,MIPFlag,Age,Pos,G,MP,MP_per_game,FG,FT,FG_Perc,3P_Perc,eFG_Perc,FT_Perc,TRB,AST,STL,BLK,PS_per_game,USG_Perc,year_no
1843,B.J. Armstrong,1994,0.0,27,6,0.0,-193.0,-2.3999999999999986,-0.7000000000000002,0.10000000000000007,-0.008000000000000063,-0.01699999999999996,0.02300000000000002,0.029000000000000026,0.19999999999999973,-0.8999999999999999,0.0,0.0,-0.8000000000000007,-0.8000000000000007,5.0
2298,B.J. Armstrong,1995,0.0,28,6,0.0,-315.0,-3.799999999999997,-1.0,0.3999999999999999,0.0,0.04599999999999993,0.007000000000000006,-0.04499999999999993,-0.09999999999999963,1.9000000000000004,-0.2,0.0,-1.6999999999999993,-0.1999999999999993,6.0
2842,B.J. Armstrong,1996,0.0,29,6,-33.0,-1242.0,-6.800000000000002,-1.0999999999999996,-1.5,-0.015000000000000013,-0.19499999999999995,-0.04400000000000004,0.02199999999999991,-0.7000000000000002,-2.3000000000000003,-0.30000000000000004,-0.1,-4.4,-0.6999999999999993,7.0
3416,B.J. Armstrong,1997,0.0,30,6,17.0,-189.0,-8.200000000000001,-1.4,-0.7999999999999999,0.040000000000000036,-0.02100000000000002,0.02300000000000002,-0.02100000000000002,-0.30000000000000004,-0.3000000000000003,-0.09999999999999998,0.0,-3.9,-2.8000000000000007,8.0
3958,B.J. Armstrong,1998,0.0,31,6,-34.0,-473.0,-1.4000000000000004,-0.30000000000000004,0.0,-0.03799999999999998,0.21,-0.020000000000000014,0.017000000000000015,0.0,-0.3999999999999999,0.0,0.0,-0.7000000000000002,0.5,9.0
4468,B.J. Armstrong,1999,0.0,32,6,-5.0,225.0,10.400000000000002,1.8,0.20000000000000007,-0.009000000000000008,-0.019000000000000072,-0.012999999999999956,0.02300000000000002,0.5,1.0,-0.10000000000000003,0.0,4.1000000000000005,2.8000000000000007,10.0
459,Vincent Askew,1991,0.0,25,12,73.0,1411.0,6.6,0.7,0.09999999999999988,0.029000000000000026,0.1,0.031000000000000024,-0.12399999999999987,1.2999999999999998,0.5,0.3,0.3,1.5,-2.5,2.0
918,Vincent Askew,1992,0.0,26,12,-7.0,-367.0,-3.1999999999999997,-0.2999999999999998,0.0,-0.01699999999999996,0.233,-0.016000000000000014,0.0109999999999999,-0.6999999999999997,-0.7,-0.09999999999999998,0.0,-0.6000000000000005,2.1999999999999997,3.0
1367,Vincent Askew,1993,0.0,27,12,7.0,561.0,5.600000000000001,1.2999999999999998,0.8000000000000003,-0.01100000000000001,-0.13899999999999998,-0.007999999999999952,0.12400000000000012,0.09999999999999963,0.7,0.4,-0.09999999999999998,3.5,2.0,4.0
1845,Vincent Askew,1994,0.0,28,12,-9.0,31.0,3.0999999999999983,0.10000000000000007,0.2999999999999998,0.01100000000000001,0.13600000000000004,0.035999999999999976,-0.08999999999999997,0.20000000000000015,0.10000000000000007,-0.20000000000000007,0.0,0.8000000000000007,-1.1000000000000014,5.0
2300,Vincent Askew,1995,0.0,29,12,-2.0,4.0,0.8000000000000007,-0.3999999999999999,-0.7,0.0009999999999999454,0.007000000000000006,0.003000000000000003,0.024999999999999908,0.7000000000000002,-0.10000000000000007,0.0,0.0,-1.5,-1.7999999999999992,6.0
2844,Vincent Askew,1996,0.0,30,12,-26.0,-887.0,-5.5,-1.2000000000000002,-0.2,-0.058,-0.04500000000000004,-0.07200000000000006,0.031000000000000024,-0.9000000000000004,-0.2999999999999998,-0.29999999999999993,-0.1,-2.8000000000000007,-0.6999999999999993,7.0
3420,Vincent Askew,1997,0.0,31,12,-13.0,-395.0,-4.699999999999998,-1.2999999999999998,-0.7000000000000001,-0.08299999999999996,-0.292,-0.10199999999999992,-0.07700000000000007,0.0,-0.8,0.2,0.1,-3.3999999999999995,-4.0,8.0
460,Keith Askins,1991,0.0,24,9,20.0,577.0,7.500000000000001,0.4999999999999999,0.10000000000000003,-0.010000000000000007,0.10200000000000004,0.014000000000000012,0.223,0.7,0.09999999999999998,0.29999999999999993,0.0,1.5,-2.5,2.0
921,Keith Askins,1992,0.0,25,9,10.0,92.0,-0.7000000000000011,-0.09999999999999988,0.0,0.003000000000000003,-0.004000000000000059,-0.0060000000000000045,0.02200000000000002,0.5,-0.2,-0.29999999999999993,0.10000000000000003,-0.4000000000000004,-0.9000000000000004,3.0
1368,Keith Askins,1993,0.0,26,9,-32.0,-616.0,-5.0,-0.30000000000000004,-0.2,-0.0040000000000000036,-0.14799999999999994,-0.032999999999999974,0.17500000000000004,-0.6999999999999997,0.0,-0.10000000000000003,-0.4,-1.0,2.9000000000000004,4.0
1846,Keith Askins,1994,0.0,27,9,13.0,535.0,8.500000000000002,0.6000000000000001,0.7,-0.01799999999999996,0.07899999999999996,0.009999999999999952,-0.09299999999999996,1.7999999999999998,0.4,0.4,0.3,2.3,-2.0,5.0
2301,Keith Askins,1995,0.0,28,9,25.0,1043.0,8.2,0.5,-0.30000000000000004,0.01100000000000001,0.14900000000000002,0.08600000000000002,-0.018000000000000016,0.2999999999999998,0.8,-0.09999999999999998,0.5,1.5,-1.4000000000000004,6.0
2848,Keith Askins,1996,0.0,29,9,3.0,-124.0,-2.6000000000000014,-0.30000000000000004,-0.09999999999999998,0.03099999999999997,-0.01699999999999996,0.013000000000000013,-0.117,-0.7999999999999998,-0.6000000000000001,0.09999999999999998,-0.6000000000000001,-1.1999999999999993,-1.200000000000001,7.0
3421,Keith Askins,1997,0.0,30,9,-32.0,-1092.0,-7.899999999999999,-1.0,-0.2,-0.113,-0.11700000000000005,-0.135,-0.040000000000000036,-1.2999999999999998,-0.4,-0.09999999999999998,0.09999999999999998,-2.5000000000000004,0.0,8.0
